F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-142.75,-145.0,-278.5,-358.0,-546.75,-5.25,-211.0,-28.25,-42.25,-124.5,-217.0,-192.25
-87.0,-38.75,26.0,-150.25,126.25,-201.25,-33.25,-137.5,-204.5,-121.75,-137.25,-73.5
-125.5,-130.5,-237.0,-380.5,-498.25,-10.75,-185.0,-2.0,-33.0,-100.0,-140.75,-172.5
-75.25,-16.0,55.75,-134.25,162.75,-210.75,-22.75,-130.25,-209.5,-83.75,-82.25,-43.75
-103.25,-96.75,-248.0,-361.0,-440.75,-4.75,-162.0,27.25,-8.0,-94.0,-152.5,-137.5
-74.25,-30.75,94.75,-121.5,133.25,-198.0,-40.0,-137.75,-172.75,-58.25,-18.5,-36.5
-62.25,-174.25,-272.75,-93.25,-566.5,3.0,-189.0,29.5,121.75,-125.75,-168.5,-31.5
-60.0,-129.75,74.25,33.75,-46.25,-183.25,-74.25,-152.0,-137.0,-103.5,-41.5,38.25
-98.5,-245.75,-256.5,-38.5,-690.0,25.75,-195.25,-58.0,68.5,-127.75,-143.75,-16.5
-71.0,-131.0,67.5,3.5,-42.0,-190.25,-77.0,-151.0,-177.75,-118.75,-40.0,22.25
-120.75,-249.25,-244.75,-128.75,-679.75,15.25,-166.0,-68.5,-2.25,-98.25,-108.0,-49.0
-72.5,-100.75,70.25,-63.75,1.0,-181.75,-79.25,-148.5,-200.25,-138.0,-49.0,16.75
-130.25,-222.75,-233.0,-202.25,-629.25,-0.25,-135.25,-54.0,-17.0,-36.25,-61.5,-71.25
-78.0,-72.75,59.25,-88.75,64.25,-191.75,-99.25,-143.5,-211.5,-166.25,-51.75,1.0
-146.5,-224.5,-173.5,-284.25,-608.5,-6.5,-96.25,-58.25,-50.75,59.25,9.75,-105.25
-60.75,-16.25,37.75,-80.25,132.5,-189.5,-84.0,-119.75,-195.0,-200.25,-97.25,0.5
-133.5,-233.0,-164.25,-323.25,-543.25,-7.75,-99.5,-39.0,-36.25,82.75,20.0,-121.0
-93.0,-36.25,50.25,-66.0,268.75,-212.75,-96.0,-131.25,-227.5,-181.25,-61.0,-19.5
-123.25,-332.5,-136.25,-236.5,-283.75,-29.0,-77.0,-38.25,-28.5,101.0,67.75,-108.5
-99.75,12.0,48.75,5.75,682.25,-185.25,-72.5,-120.0,-207.75,-145.0,-54.25,21.5
-114.75,-325.0,-156.0,-243.75,74.25,-20.75,-69.5,-35.25,-8.75,94.0,43.5,-72.75
-110.75,37.0,29.25,6.25,790.25,-203.75,-98.25,-135.25,-226.25,-159.0,-76.75,28.75
