F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-159.75,-744.75,34.0,-24.75,1323.0,315.0,55.5,-579.5,-142.5,-142.5,-33.0,-255.5
-18.75,562.0,-192.75,-196.75,-1523.75,-478.5,-213.5,442.0,-64.75,-11.25,-134.75,73.0
-161.0,-767.0,28.25,-26.25,1306.75,285.75,25.0,-596.0,-138.25,-177.25,-43.5,-253.0
9.5,612.0,-188.5,-158.0,-1483.0,-418.0,-182.5,477.5,-11.5,24.75,-115.0,112.5
-214.5,-823.5,37.75,-70.0,1261.75,238.0,-13.25,-655.0,-190.5,-211.25,-55.25,-295.5
43.25,646.25,-182.0,-126.5,-1464.25,-396.75,-170.5,513.5,23.5,43.75,-96.5,153.75
-228.75,-840.5,16.75,-68.25,1259.25,210.25,-13.0,-673.75,-205.0,-212.25,-69.25,-303.0
66.5,675.0,-167.0,-101.5,-1446.25,-361.5,-155.5,528.5,45.5,46.75,-92.25,181.5
-250.0,-869.75,-6.0,-88.0,1248.75,171.5,-32.0,-684.25,-221.5,-224.75,-81.75,-332.75
65.5,700.25,-154.0,-99.25,-1414.0,-341.75,-144.5,540.25,46.25,51.0,-99.25,156.25
-259.75,-884.0,-17.0,-88.5,1267.5,195.0,-17.5,-698.5,-231.25,-216.0,-58.0,-341.5
76.5,690.5,-161.75,-107.0,-1397.5,-385.5,-161.5,537.0,51.0,27.0,-105.5,155.0
-254.75,-855.75,-21.25,-81.75,1298.5,186.25,-26.75,-679.75,-213.0,-211.0,-52.75,-349.25
72.5,663.0,-143.5,-115.0,-1415.75,-336.5,-162.25,525.5,42.75,47.25,-94.0,154.75
-266.0,-833.5,-11.5,-77.25,1328.0,161.0,4.0,-688.0,-231.25,-204.5,-63.75,-369.0
80.25,636.0,-164.75,-125.0,-1446.75,-349.5,-215.25,528.25,54.5,10.25,-97.25,146.5
-259.0,-809.25,2.5,-56.5,1347.0,135.25,21.75,-684.5,-215.25,-181.5,-57.75,-351.75
72.0,613.0,-172.75,-128.25,-1454.0,-327.5,-212.0,523.25,41.75,3.25,-112.75,143.25
-270.5,-812.0,-0.75,-65.0,1325.75,153.0,19.0,-694.25,-222.75,-183.25,-55.75,-352.75
71.0,620.0,-162.25,-131.0,-1454.0,-362.0,-186.75,532.0,38.5,19.25,-105.75,145.25
-244.5,-780.0,4.75,-22.0,1343.75,215.25,23.5,-668.75,-199.0,-186.25,-49.0,-322.0
75.0,617.5,-150.25,-147.0,-1443.0,-359.75,-158.0,539.5,45.25,42.0,-98.75,141.25
-263.5,-791.5,3.25,-7.75,1322.75,212.25,-30.25,-697.75,-205.5,-223.75,-52.5,-322.0
80.0,596.5,-160.5,-171.0,-1473.0,-394.75,-142.5,547.75,26.5,64.25,-97.5,113.5
-257.5,-781.25,6.75,11.0,1320.75,228.5,-29.75,-696.75,-189.75,-222.75,-50.5,-304.5
118.75,637.0,-164.0,-145.0,-1439.25,-374.0,-144.0,596.25,64.75,51.0,-111.5,138.0
-248.5,-772.75,30.75,-5.25,1324.5,233.75,-14.5,-698.0,-190.5,-186.75,-3.5,-321.0
89.5,619.5,-190.0,-139.25,-1459.5,-410.25,-154.0,579.25,40.0,21.75,-153.75,133.0
-247.75,-768.75,47.0,-4.0,1330.75,256.5,9.5,-685.75,-194.0,-167.0,4.75,-337.5
71.25,588.25,-205.5,-130.5,-1493.75,-395.75,-159.0,534.0,21.0,-1.75,-158.5,140.25
-245.75,-778.75,52.5,-14.75,1317.25,210.5,27.75,-690.0,-192.25,-156.5,6.25,-361.25
75.0,613.25,-200.25,-119.5,-1492.5,-358.75,-160.75,555.25,22.75,0.5,-151.75,140.5
-278.5,-767.25,50.75,-2.0,1342.75,207.25,29.0,-698.5,-210.0,-154.0,6.75,-354.0
107.75,607.0,-211.0,-117.75,-1490.25,-309.0,-151.0,558.5,49.25,-13.75,-161.75,144.25
-269.0,-785.25,74.25,-24.25,1303.5,143.75,41.25,-704.75,-209.0,-137.75,19.25,-328.75
110.0,653.5,-227.25,-80.25,-1439.0,-278.5,-145.5,599.5,71.25,-1.5,-170.0,158.75
-290.5,-821.5,93.25,-42.5,1272.0,141.0,37.25,-737.0,-224.25,-154.25,16.75,-330.0
141.25,679.5,-246.0,-88.75,-1435.75,-278.25,-122.0,627.25,86.25,-1.25,-166.0,190.5
-277.0,-809.75,109.5,-31.5,1280.25,118.0,43.5,-731.0,-217.0,-139.5,31.5,-358.5
138.75,676.75,-247.0,-79.25,-1437.25,-236.5,-138.25,624.0,88.5,11.75,-160.75,187.75
-292.0,-835.75,112.75,-50.25,1285.0,79.25,22.25,-740.5,-242.5,-162.25,18.5,-375.5
143.0,686.0,-242.0,-81.25,-1401.5,-191.75,-141.0,635.0,87.5,36.75,-142.75,201.25
-314.75,-848.75,109.75,-49.75,1279.5,37.0,16.0,-766.5,-247.75,-190.75,-6.75,-382.25
141.5,668.0,-263.75,-114.25,-1404.25,-205.75,-175.5,610.5,67.0,37.75,-137.75,195.0
-300.75,-828.75,113.5,-65.25,1267.75,41.25,30.5,-743.5,-237.25,-182.0,-15.25,-392.0
129.0,665.75,-255.5,-105.25,-1392.25,-195.0,-173.0,594.75,56.75,26.75,-113.25,193.25
-300.25,-849.0,102.5,-72.5,1247.0,5.0,36.5,-751.25,-240.0,-179.0,-39.75,-401.5
123.5,664.0,-257.5,-114.0,-1404.0,-152.5,-196.5,587.5,49.0,13.5,-101.5,195.75
-303.0,-862.0,105.5,-39.25,1243.75,-3.75,63.0,-763.25,-230.5,-169.5,-52.0,-385.25
113.0,667.75,-261.25,-120.25,-1393.5,-184.75,-215.25,579.5,38.25,-32.5,-122.0,195.25
-331.75,-888.25,112.75,-60.25,1213.0,43.5,46.25,-769.75,-250.5,-139.5,-28.0,-422.5
126.0,723.5,-248.25,-97.75,-1347.25,-201.25,-173.25,612.25,55.5,1.25,-98.5,222.0
-306.75,-901.5,94.25,-65.0,1187.75,33.75,18.75,-760.0,-236.0,-156.5,-43.5,-411.75
130.25,724.25,-231.0,-73.75,-1336.0,-188.75,-138.25,625.0,76.75,20.5,-85.0,224.75
-321.0,-932.25,60.0,-110.0,1148.5,-1.5,-37.0,-776.25,-262.25,-207.75,-88.25,-416.0
123.0,723.75,-244.25,-84.75,-1337.75,-199.25,-140.75,616.0,68.75,5.5,-89.0,231.25
