F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-221560,-318648,-671184,-2688,-40920,-456192,-1344,-698112,-2640,-1576040,-328000,-1300112,-1572912,-305208,0,0,,245152
-229680,-282864,-602928,-2784,-38192,-430272,-1432,-974592,-2976,-1514536,-305040,-1468104,-1549080,-340200,0,0,,760
-191400,-269232,-654120,-2784,8184,-414720,-1344,-960768,-2608,-1491472,-272240,-1197856,-1517304,-279936,0,0,,163584
-182120,-299904,-739440,-2752,-30008,-445824,-1440,-946944,-2752,-1522224,-287000,-1124816,-1564968,-316872,0,0,,747288
-193720,-308424,-784944,-2736,-51832,-466560,-1392,-933120,-2672,-1422280,-287000,-1351240,-1564968,-322704,0,0,,256368
-192560,-277752,-676872,-2736,-21824,-451008,-1392,-1126656,-2560,-1345400,-275520,-1314720,-1421976,-299376,0,0,,792
-197200,-272640,-614304,-2784,-40920,-440640,-1528,-1541376,-2880,-1383840,-314880,-1175944,-1421976,-340200,0,0,,170400
-187920,-296496,-625680,-2816,-43648,-456192,-1376,-1016064,-2624,-1337712,-326360,-1161336,-1382256,-301320,0,0,,777296
-176320,-284568,-671184,-2688,-13640,-438048,-1424,-96768,-2784,-1322336,-282080,-1139424,-1294872,-311040,0,0,,265200
-165880,-245376,-773568,-2560,-19096,-399168,-1416,-476928,-2624,-1283896,-265680,-1146728,-1437864,-314928,0,0,,2472
-167040,-245376,-745128,-2704,-57288,-386208,-1376,-1161216,-2512,-1291584,-283720,-1183248,-1421976,-299376,0,0,,177216
-184440,-265824,-602928,-2800,-51832,-383616,-1496,-1029888,-2960,-1429968,-288640,-1110208,-1143936,-322704,0,0,,806400
-182120,-265824,-591552,-2704,-30008,-391392,-1336,-946944,-2624,-1383840,-288640,-1183248,-1207488,-279936,0,0,,274752
-176320,-264120,-671184,-2736,-38192,-378432,-1368,-988416,-2768,-1237768,-282080,-1285504,-1620576,-309096,0,0,,0
-171680,-257304,-648432,-2816,-62744,-352512,-1424,-898560,-2752,-1183952,-260760,-1051776,-1580856,-307152,0,0,,184032
-170520,-252192,-705312,-2752,-95480,-368064,-1376,-884736,-2480,-1299272,-278800,-956824,-1271040,-277992,0,0,,837120
