F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-243840,-330336,-1000640,-1344,-704320,-574288,-2752,-1444200,-2656,-1899072,-187016,-1599360,-1810800,0,0,0,,2088
-225552,-318432,-1055760,-1344,-617520,-539968,-2992,-1473200,-2896,-1853856,-186240,-1559040,-1818848,0,0,0,,130944
-237744,-343728,-1076960,-1272,-629920,-565136,-2800,-1606600,-2624,-2019648,-189344,-1626240,-1931520,0,0,0,,669280
-264160,-380928,-1123600,-1368,-699360,-633776,-2768,-1705200,-2576,-2313552,-194000,-1733760,-2012000,0,0,0,,205920
-262128,-366048,-1098160,-1496,-662160,-615472,-2880,-1577600,-2800,-2290944,-183136,-1686720,-1915424,0,0,0,,1456
-257048,-348192,-1060000,-1424,-659680,-560560,-2720,-1432600,-2656,-2200512,-183136,-1612800,-1907376,0,0,0,,137632
-269240,-355632,-1132080,-1336,-741520,-553696,-2912,-1589200,-2832,-2306016,-201760,-1646400,-2108576,0,0,0,,700848
-267208,-369024,-1115120,-1336,-739040,-578864,-2816,-1757400,-2688,-2358768,-200984,-1740480,-2140768,0,0,0,,215072
-257048,-369024,-1038800,-1352,-649760,-599456,-2704,-1664600,-2656,-2366304,-190896,-1841280,-2020048,0,0,0,,760
-258064,-345216,-1064240,-1328,-627440,-613184,-2880,-1635600,-2800,-2306016,-194000,-1881600,-2108576,0,0,0,,142848
-261112,-364560,-1072720,-1304,-686960,-640640,-2864,-1711000,-2608,-2245728,-208744,-1794240,-2156864,0,0,0,,729440
-260096,-418128,-1030320,-1312,-677040,-636064,-3008,-1595000,-2800,-2351232,-207192,-1693440,-1947616,0,0,0,,224224
-239776,-394320,-1051520,-1312,-615040,-581152,-2848,-1577600,-2720,-2313552,-181584,-1700160,-1842992,0,0,0,,2376
-218440,-319920,-1102400,-1344,-600160,-530816,-2832,-1670400,-2688,-2110080,-167616,-1774080,-1963712,0,0,0,,147200
-218440,-293136,-1064240,-1432,-600160,-507936,-2976,-1624000,-2832,-2012112,-170720,-1774080,-1963712,0,0,0,,759520
-238760,-336288,-975200,-1464,-617520,-537680,-2768,-1629800,-2528,-2110080,-178480,-1774080,-1851040,0,0,0,,233376
-263144,-377952,-992160,-1360,-637360,-588016,-2960,-1658800,-2720,-2245728,-185464,-1800960,-1907376,0,0,0,,2472
-245872,-357120,-1017600,-1280,-600160,-553696,-2880,-1519600,-2720,-2147760,-173048,-1706880,-1931520,0,0,0,,153088
-217424,-308016,-1026080,-1352,-567920,-491920,-2784,-1484800,-2672,-1921680,-152096,-1565760,-1826896,0,0,0,,790440
-212344,-310992,-1068480,-1384,-553040,-503360,-3024,-1537000,-2880,-1801104,-146664,-1458240,-1818848,0,0,0,,242528
-188976,-333312,-1021840,-1296,-535680,-514800,-2784,-1409400,-2640,-1748352,-150544,-1384320,-1690080,0,0,0,,1712
-167640,-296112,-996400,-1280,-548080,-471328,-2832,-1310800,-2720,-1703136,-148992,-1417920,-1633744,0,0,0,,159840
-184912,-264864,-1043040,-1336,-610080,-466752,-2880,-1421000,-2704,-1672992,-141232,-1458240,-1762512,0,0,0,,820552
-196088,-285696,-1060000,-1344,-639840,-489632,-2864,-1542800,-2656,-1703136,-146664,-1417920,-1867136,0,0,0,,249920
-183896,-313968,-1072720,-1312,-580320,-480480,-2992,-1548600,-2832,-1823712,-155200,-1478400,-1842992,0,0,0,,2664
-193040,-352656,-1085440,-1320,-548080,-510224,-2768,-1496400,-2560,-2019648,-154424,-1579200,-1770560,0,0,0,,164864
-241808,-385392,-1034560,-1384,-617520,-555984,-2912,-1548600,-2720,-2192976,-175376,-1585920,-1802752,0,0,0,,849760
-266192,-357120,-924320,-1376,-672080,-558272,-2976,-1618200,-2816,-2132688,-198656,-1626240,-1867136,0,0,0,,259008
-234696,-313968,-928560,-1336,-629920,-558272,-2832,-1479000,-2576,-1914144,-181584,-1592640,-1826896,0,0,0,,920
-203200,-316944,-1013360,-1400,-567920,-544544,-2976,-1310800,-2784,-1793568,-152872,-1444800,-1770560,0,0,0,,170752
-198120,-310992,-1017600,-1440,-545600,-480480,-2800,-1403600,-2672,-1793568,-148216,-1424640,-1794704,0,0,0,,880776
-211328,-272304,-996400,-1344,-550560,-427856,-2816,-1455800,-2720,-1755888,-155200,-1532160,-1834944,0,0,0,,268096
-210312,-241056,-911600,-1272,-518320,-409552,-2928,-1293400,-2736,-1567488,-140456,-1498560,-1738368,0,0,0,,0
-182880,-251472,-864960,-1344,-463760,-418704,-2816,-1229600,-2544,-1386624,-120280,-1404480,-1641792,0,0,0,,176640
-176784,-310992,-915840,-1384,-496000,-478192,-2880,-1357200,-2800,-1514736,-132696,-1458240,-1690080,0,0,0,,911856
-177800,-315456,-911600,-1296,-560480,-498784,-2752,-1461600,-2688,-1597632,-144336,-1518720,-1649840,0,0,0,,280112
-169672,-242544,-915840,-1312,-540640,-427856,-2992,-1461600,-2752,-1469520,-133472,-1525440,-1601552,0,0,0,,984
-174752,-242544,-987920,-1368,-535680,-430144,-3088,-1525400,-2784,-1552416,-131920,-1585920,-1770560,0,0,0,,182528
-186944,-324384,-1009120,-1288,-585280,-517088,-2688,-1519600,-2528,-1763424,-146664,-1632960,-1923472,0,0,0,,941000
-202184,-339264,-983680,-1288,-582800,-530816,-2800,-1386200,-2800,-1861392,-148992,-1673280,-1891280,0,0,0,,287280
-201168,-313968,-975200,-1376,-538160,-526240,-2784,-1421000,-2688,-1823712,-138904,-1659840,-1859088,0,0,0,,1016
-198120,-322896,-996400,-1368,-545600,-549120,-2768,-1525400,-2624,-1801104,-149768,-1565760,-1883232,0,0,0,,355632
-213360,-325872,-1009120,-1296,-577840,-517088,-2816,-1479000,-2784,-1801104,-165288,-1525440,-1810800,0,0,0,,355632
-211328,-318432,-1030320,-1280,-577840,-498784,-2720,-1397800,-2656,-1778496,-155976,-1512000,-1754464,-2496,0,0,,355632
-212344,-339264,-1034560,-1376,-587760,-544544,-3056,-1421000,-2848,-1861392,-152872,-1478400,-1794704,-2640,0,0,,355632
-230632,-345216,-945520,-1424,-622944,-549120,-2896,-1525400,-2720,-1861392,-166064,-1532160,-1730320,-2416,0,0,,355632
-231648,-316944,-877680,-1328,-593280,-491920,0,-1548600,-2656,-1778496,-166064,-1592640,-1706176,-2304,0,0,,355632
-216408,-310992,-890400,-1304,-521592,-478192,0,-1345600,-2832,-1770960,-148216,-1485120,-1754464,-2576,0,0,,355632
-207264,-318432,-898880,-1368,-509232,-501072,0,-1177400,-2624,-1801104,-141232,-1404480,-1683704,-2400,0,0,,355632
-211328,-310992,-979440,-1360,-529008,-496496,0,-1328200,-2800,-1778496,-151320,-1485120,-1772320,-2576,0,0,,355632
-214376,-313968,-1068480,-1288,-536424,-501072,0,-1492656,-2784,-1703136,-153648,-1485120,-1949552,-2448,0,0,,355632
-218440,-322896,-1034560,-1304,-536424,-510224,0,-1434576,-2704,-1725744,-150544,-1438080,-1828712,-2416,0,0,,355632
-212344,-312480,-983680,-1320,-526536,-518592,0,-1417152,-2816,-1733280,-146664,-1478400,-1772320,-2656,0,0,,355632
-196088,-306528,-983680,-1312,-516648,-511488,0,-1521696,0,-1620240,-141232,-1525440,-1933440,-2272,0,0,,355632
-205232,-294520,-992160,-1328,-516648,-490176,0,-1440384,0,-1559952,-155976,-1518720,-1925384,-2384,0,0,,355632
-206248,-281200,-958240,-1328,-526536,-499648,0,-1237104,0,-1559952,-173048,-1518720,-1723984,-2416,0,0,,355632
-185928,-306360,-970960,-1344,-506760,-553608,0,-1271952,0,-1620240,-162184,-1572480,-1635368,-2384,0,0,,355632
-183896,-310800,-1060000,-1344,-457320,-539352,0,-1428768,-2832,-1680528,-145112,-1632960,-1756208,-2656,0,0,,355632
-203200,-276760,-1043040,-1320,-479568,-503712,0,-1452000,-2496,-1665456,-155200,-1626240,-1828712,-2320,0,0,,128
-241808,-310800,-983680,-1312,-590808,-551232,0,-1440384,-2592,-1861392,-185464,-1673280,-1877048,-2464,0,0,,408
-246888,-368520,-1004880,-1304,-600696,-582120,0,-1399728,-2720,-2049792,-183136,-1740480,-1941496,-2560,0,0,,432
-213360,-338920,-1043040,-1304,-516648,-520344,0,-1347456,-2576,-1846320,-164512,-1693440,-1909272,-2320,0,0,,456
-220472,-288600,-1000640,-1288,-494400,-479952,0,-1428768,-2784,-1680528,-169168,-1612800,-1844824,-2464,0,0,,480
-245872,-319680,-932800,-1320,-538896,-525096,0,-1515888,-2656,-1823712,-180032,-1632960,-1901216,-2352,0,0,,0
-238760,-368520,-996400,-1368,-558672,-584496,0,-1417152,-2784,-1921680,-180032,-1713600,-2086504,-2624,0,0,,176
-212344,-355200,-1064240,-1360,-489456,-560736,0,-1370688,-2816,-1763424,-172272,-1693440,-2046224,-2624,0,0,,368
-195072,-312280,-954000,-1368,-444960,-517968,0,-1475232,-2544,-1650384,-169168,-1619520,-1756208,-2208,0,0,,384
-209296,-306360,-822560,-1368,-509232,-544104,0,-1515888,-2752,-1733280,-174600,-1653120,-1715928,-2512,0,0,,600
-209296,-333000,-843760,-1344,-526536,-558360,0,-1417152,-2720,-1695600,-160632,-1659840,-1828712,-2416,0,0,,208
-181864,-319680,-945520,-1384,-449904,-510840,0,-1364880,-2800,-1514736,-139680,-1538880,-1780376,-2448,0,0,,648
-183896,-306360,-983680,-1400,-469680,-515592,0,-1422960,-2800,-1537344,-145888,-1559040,-1756208,-2592,0,0,,448
-202184,-337440,-992160,-1312,-533952,-570240,0,-1452000,-2592,-1748352,-159080,-1720320,-1844824,-2336,0,0,,696
-203200,-355200,-987920,-1360,-482040,-558360,0,-1364880,-2848,-1816176,-156752,-1767360,-1901216,-2576,0,0,,0
-198120,-333000,-903120,-1432,-449904,-515592,0,-1347456,-2672,-1672992,-145112,-1733760,-1868992,-2384,0,0,,0
-193040,-270840,-877680,-1352,-477096,-482328,0,-1486848,-2608,-1514736,-140456,-1666560,-1788432,-2288,0,0,,512
-191008,-254560,-924320,-1352,-501816,-475200,0,-1550736,-2800,-1499664,-148992,-1639680,-1812600,-2528,0,0,,792
-205232,-318200,-937040,-1408,-533952,-515592,0,-1411344,-2672,-1710672,-159856,-1747200,-1933440,-2432,0,0,,0
-218440,-322640,-958240,-1344,-521592,-508464,0,-1254528,-2864,-1786032,-155976,-1760640,-1957608,-2688,0,0,,280
-203200,-254560,-937040,-1280,-477096,-449064,0,-1248720,-2672,-1567488,-145888,-1619520,-1828712,-2432,0,0,,288
-200152,-264920,-886160,-1352,-472152,-468072,0,-1260336,-2592,-1567488,-153648,-1619520,-1812600,-2288,0,0,,888
-199136,-307840,-881920,-1424,-472152,-503712,0,-1196448,-2864,-1733280,-153648,-1680000,-1893160,-2496,0,0,,304
-174752,-267880,-881920,-1416,-440016,-439560,0,-1254528,-2656,-1642848,-138904,-1592640,-1828712,-2320,0,0,,312
-200152,-254560,-898880,-1376,-442488,-406296,0,-1422960,-2784,-1680528,-149768,-1606080,-1812600,-2544,0,0,,960
-239776,-330040,-928560,-1288,-479568,-489456,0,-1422960,-2752,-1876464,-169944,-1700160,-1836768,-2416,0,0,,0
-211328,-356680,-924320,-1336,-509232,-546480,0,-1202256,-2752,-1823712,-169168,-1585920,-1748152,-2304,0,0,,1008
-186944,-321160,-886160,-1400,-526536,-534600,0,-1022208,-2928,-1695600,-166064,-1451520,-1780376,-2576,0,0,,1032
-218440,-316720,-932800,-1312,-536424,-515592,0,-1126752,-2576,-1740816,-173824,-1572480,-1925384,-2336,0,0,,352
-239776,-321160,-1000640,-1328,-504288,-460944,0,-1335840,-2688,-1808640,-173048,-1713600,-1925384,-2576,0,0,,360
-209296,-304880,-907360,-1488,-444960,-437184,0,-1324224,-2736,-1748352,-153648,-1653120,-1804544,-2560,0,0,,0
-198120,-319680,-886160,-1448,-457320,-491832,0,-1219680,-2704,-1770960,-152872,-1599360,-1828712,-2304,0,0,,376
-218440,-338920,-983680,-1264,-524064,-503712,0,-1300992,-2880,-1891536,-173824,-1666560,-1909272,-2464,0,0,,1152
-214376,-303400,-932800,-1264,-538896,-468072,0,-1376496,-2528,-1740816,-173048,-1653120,-1860936,-2272,0,0,,392
-210312,-294520,-852240,-1392,-521592,-477576,0,-1242912,-2672,-1612704,-154424,-1599360,-1877048,-2464,0,0,,1200
-213360,-344840,-843760,-1456,-511704,-501336,0,-1161600,-2784,-1665456,-146664,-1599360,-1868992,-2528,0,0,,0
-194056,-353720,-890400,-1392,-514176,-479952,0,-1208064,-2624,-1657920,-150544,-1565760,-1780376,-2352,0,0,,1248
-188976,-312280,-983680,-1376,-519120,-463320,0,-1277760,-2832,-1680528,-155976,-1505280,-1868992,-2640,0,0,,0
-199136,-303400,-975200,-1424,-519120,-496584,0,-1417152,-2704,-1657920,-154424,-1505280,-1925384,-2384,0,0,,432
-196088,-316720,-886160,-1432,-501816,-510840,0,-1411344,-2768,-1559952,-153648,-1485120,-1723984,-2432,0,0,,880
-200152,-335960,-848000,-1376,-529008,-517968,0,-1132560,-2800,-1597632,-161408,-1411200,-1538696,-2512,0,0,,448
-213360,-370000,-848000,-1368,-556200,-548856,0,-969936,-2656,-1740816,-168392,-1411200,-1546752,-2336,0,0,,0
-197104,-344840,-848000,-1376,-489456,-539352,0,-1126752,-2848,-1582560,-160632,-1377600,-1611200,-2640,0,0,,0
-152400,-278240,-822560,-1336,-437544,-494208,0,-1248720,-2752,-1220832,-147440,-1229760,-1546752,-2416,0,0,,0
-149352,-293040,-852240,-1360,-499344,-510840,0,-1103520,-2848,-1311264,-155976,-1189440,-1530640,-2448,0,0,,960
-174752,-359640,-890400,-1440,-526536,-567864,0,-964128,-2800,-1627776,-161408,-1296960,-1603144,-2576,0,0,,488
-165608,-350760,-826800,-1424,-449904,-546480,0,-1080288,-2496,-1544880,-138904,-1303680,-1554808,-2240,0,0,,1488
-160528,-287120,-763200,-1288,-435072,-463320,0,-1266144,-2752,-1333872,-134248,-1276800,-1578976,-2480,0,0,,0
-171360,-279720,-835280,-1232,-479568,-449064,0,-1202256,-2688,-1371552,-145112,-1283520,-1723984,-2384,0,0,,0
-179424,-319680,-937040,-1368,-462264,-498960,0,-1045440,-2736,-1567488,-148992,-1310400,-1820656,-2400,0,0,,0
-192528,-341880,-848000,-1472,-440016,-506088,0,-1051248,-2848,-1642848,-149744,-1391040,-1820656,-2512,0,0,,0
-196560,-328560,-758960,-1416,-460768,-446688,0,-1103520,-2608,-1590096,-148960,-1397760,-1740096,-2336,0,0,,0
-202608,-306360,-848000,-1368,-468160,-413424,-1432,-1091904,-2832,-1582560,-159936,-1377600,-1732040,-2704,0,0,,0
-189504,-282680,-842168,-1384,-406560,-430056,-1424,-1097712,-2720,-1492128,-154448,-1411200,-1699816,-2512,0,0,,0
-169344,-272320,-816776,-1408,-367136,-422928,-1432,-1196448,-2624,-1439376,-134848,-1451520,-1638528,-2288,0,0,,0
-202608,-303400,-867560,-1432,-423808,-425304,-1488,-1242912,-2784,-1627776,-142688,-1483680,-1678688,-2512,0,0,,0
-178416,-183520,-782920,-1336,-443520,-363528,-1392,-1010592,-2560,-911856,-121520,-1200432,-1333312,-2624,0,0,,320
-146160,-190920,-753296,-1336,-445984,-344520,0,-824736,-2592,-1047504,-145040,-1288104,-1542144,-2592,0,0,,320
-129024,-190920,-775344,-1288,-340032,-327888,0,-801504,-2624,-1009824,-134064,-1227408,-1373472,-2368,0,0,,320
