F3 Quality,FC6 Quality,P7 Quality,T8 Quality,F7 Quality,F8 Quality,T7 Quality,P8 Quality,AF4 Quality,F4 Quality,AF3 Quality,O2 Quality,O1 Quality,FC5 Quality,X Quality,Y Quality,Z Quality,Unknown Quality
936,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1560,0,0,0,16
936,1040,5552,24,2624,2672,16,6920,16,7752,1456,6728,7944,1496,0,0,0,16
936,1040,5552,24,2624,2672,16,6920,16,7752,1464,6728,7944,1496,0,0,0,16
936,1040,5552,24,2624,2672,16,6920,16,7752,1464,6728,7944,1496,0,0,0,16
936,1040,5552,24,2624,2672,16,6920,16,7752,1464,6728,7944,1496,0,0,0,16
936,1040,5544,24,2624,2672,16,6920,16,7752,1464,6728,7944,1496,0,0,0,16
936,1040,5544,24,2624,2672,16,6920,16,7752,1464,6728,7952,1496,0,0,0,16
936,1040,5544,24,2624,2672,16,6920,16,7752,1464,6912,7952,1496,0,0,0,16
936,1040,5544,24,2624,2672,16,6912,16,7752,1464,6912,7952,1496,0,0,0,16
936,1040,5544,24,2624,2672,16,6912,16,7752,1464,6912,7952,1496,0,0,0,16
936,1040,5544,24,2624,2664,16,6912,16,7752,1464,6912,7952,1496,0,0,0,16
936,1040,5544,24,2624,2664,16,6912,16,7752,1464,6912,7952,1496,0,0,0,16
936,1336,5544,24,2624,2664,16,6912,16,7752,1464,6912,7952,1496,0,0,0,16
936,1336,5544,24,2624,2664,16,6912,16,7760,1464,6912,7952,1496,0,0,0,16
936,1336,5544,24,2624,2672,16,6912,16,7760,1464,6912,7952,1496,0,0,0,16
936,1336,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,16
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,16
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,7744
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,2672
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,24
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,1312
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,7752
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,2672
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,16
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,1312
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,7744
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,2664
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,24
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,1320
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,7744
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,2680
936,1312,5544,24,2624,2672,16,6912,8,7760,1464,6912,7952,1496,0,0,0,0
