F3 Quality,FC6 Quality,P7 Quality,T8 Quality,F7 Quality,F8 Quality,T7 Quality,P8 Quality,AF4 Quality,F4 Quality,AF3 Quality,O2 Quality,O1 Quality,FC5 Quality,X Quality,Y Quality,Z Quality,Unknown Quality
936,656,1216,72,1120,744,6896,1016,0,3400,760,768,7712,80,0,0,0,656
936,656,1216,72,912,744,6896,1016,0,3400,760,768,7712,80,0,0,0,656
936,656,1216,72,912,744,6864,1016,0,3400,760,768,7712,80,0,0,0,656
936,656,1232,72,912,744,6864,1016,0,3400,760,768,7712,80,0,0,0,656
936,656,1232,72,912,744,6864,1016,0,3400,760,768,7640,80,0,0,0,656
936,656,1232,72,912,744,6864,1016,0,3400,760,1112,7640,80,0,0,0,656
936,656,1232,72,912,744,6864,928,0,3400,760,1112,7640,80,0,0,0,656
936,656,1232,320,912,744,6864,928,0,3400,760,1112,7640,80,0,0,0,656
936,656,1232,320,912,1480,6864,928,0,3400,760,1112,7640,80,0,0,0,656
936,656,1232,320,912,1480,6864,928,0,3400,760,1112,7640,80,0,0,0,656
936,1856,1232,320,912,1480,6864,928,0,3400,760,1112,7640,80,0,0,0,656
936,1856,1232,320,912,1480,6864,928,0,3320,760,1112,7640,80,0,0,0,656
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,656
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,656
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,16
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
