"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-192","2664","-185","2968","-159","1496","-153","3072","-670","3400","-624","2488","-126","2376","-129","6544","-172","24","-156","0","-337","2504","-184","8136","-225","4864","-186","1112","21","0","24","0","?","0","232","2952"
"-186","2664","-229","2968","-162","1496","-177","3072","-686","3400","-667","2488","-185","2376","-133","6544","-178","0","-171","0","-298","2504","-176","8136","-216","4864","-186","1112","21","0","24","0","?","0","232","2952"
"-190","2664","-250","2968","-138","1496","-187","3072","-697","3400","-690","2488","-192","2376","-147","6544","-168","0","-172","0","-283","2504","-184","8136","-193","4864","-197","1112","21","0","24","0","?","0","232","2952"
"-207","2664","-233","2968","-117","1496","-193","3072","-709","3400","-692","2488","-153","2376","-163","6544","-186","0","-177","3104","-336","2504","-208","8136","-196","4864","-213","1112","21","0","24","0","?","0","232","2952"
"-221","2664","-221","2968","-134","1496","-169","3072","-712","3400","-688","2488","-144","2376","-151","6544","-173","0","-191","3104","-378","2504","-218","8136","-221","4864","-220","1112","21","0","24","0","?","0","232","2952"
"-218","2664","-231","2968","-156","1496","-149","3072","-697","3400","-698","2488","-160","2376","-131","6544","-173","0","-201","3104","-338","2504","-212","8136","-228","4864","-211","1112","21","0","24","0","?","0","232","2952"
"-206","2664","-224","2968","-155","1496","-151","3072","-683","3400","-695","2488","-149","2376","-127","6544","-179","0","-184","3104","-298","2504","-206","8136","-221","4864","-200","1112","21","0","24","0","?","0","16","24"
"-201","2664","-219","2968","-157","1496","-168","3072","-696","3400","-682","2488","-153","2376","-126","6544","-167","0","-167","3104","-331","2504","-195","8136","-210","4864","-207","1112","21","0","24","0","?","0","17","16"
"-190","2664","-241","2968","-164","1496","-185","3072","-707","3400","-689","2488","-179","2376","-133","6544","-191","0","-172","3104","-335","2504","-189","8136","-205","4864","-212","1112","21","0","24","0","?","0","18","24"
"-182","2664","-250","2968","-157","1496","-175","3072","-691","3400","-714","2488","-188","2376","-150","6544","-178","0","-176","3104","-295","2504","-193","8136","-215","4864","-202","1112","21","0","24","0","?","0","19","8"
"-206","2664","-245","2968","-149","1496","-179","3072","-689","3400","-730","2488","-167","2376","-157","6544","-173","0","-191","3104","-322","2504","-188","8136","-213","4864","-204","1112","21","0","24","0","?","0","20","24"
"-228","2664","-256","2968","-141","1496","-187","3072","-718","3400","-717","2488","-150","2376","-149","6544","-190","0","-210","3104","-358","2504","-185","8136","-189","4864","-218","1112","21","0","24","0","?","0","21","24"
"-222","2664","-275","2968","-142","1496","-182","3072","-732","3400","-721","2488","-175","2376","-152","6544","-172","0","-212","3104","-333","2504","-200","8136","-181","4864","-220","1112","21","0","24","0","?","0","22","24"
"-226","2664","-287","2968","-161","1496","-207","3072","-716","3400","-752","2488","-184","2376","-159","6544","-179","0","-229","3104","-342","2504","-208","8136","-198","4864","-214","1112","21","0","24","0","?","0","23","16"
"-230","2664","-276","2968","-179","1496","-238","3072","-705","3400","-743","2488","-151","2376","-149","6544","-174","0","-235","3104","-361","2504","-202","8136","-214","4864","-212","1112","21","0","24","0","?","0","24","16"
"-219","2664","-256","2968","-183","1496","-205","3072","-713","3400","-712","2488","-150","2376","-151","6544","-175","0","-217","3104","-347","2504","-215","8136","-216","4864","-214","1112","21","0","24","0","?","0","25","0"
"-225","2664","-254","2968","-174","1496","-157","3072","-731","3400","-723","2488","-179","2376","-156","6544","-187","0","-208","3104","-352","2504","-227","8136","-215","4864","-223","1112","21","0","24","0","?","0","26","8"
"-229","2664","-265","2968","-159","1496","-153","3072","-716","3400","-733","2488","-148","2376","-136","6544","-166","0","-196","3104","-351","2504","-214","8136","-215","4864","-213","1112","22","0","23","0","?","0","27","8"
"-203","2664","-272","2968","-153","1496","-139","3072","-688","3400","-720","2488","-120","2376","-122","6544","-178","0","-170","3104","-308","2504","-203","8136","-210","4864","-196","1112","22","0","23","0","?","0","28","16"
"-183","2664","-258","2968","-156","1496","-142","3072","-709","3400","-726","2488","-163","2376","-143","6544","-179","0","-165","3104","-294","2504","-209","8136","-202","4864","-211","1112","22","0","23","0","?","0","29","16"
"-183","2664","-234","2968","-158","1496","-173","3072","-725","3400","-716","2488","-187","2376","-160","6544","-175","0","-170","3104","-320","2504","-215","8136","-203","4864","-223","1112","22","0","23","0","?","0","30","8"
"-184","2664","-240","2968","-167","1496","-173","3072","-694","3400","-702","2488","-165","2376","-150","6544","-189","0","-160","3104","-324","2504","-218","8136","-212","4864","-197","1112","22","0","23","0","?","0","31","0"
"-181","2664","-252","2968","-177","1496","-156","3072","-677","3400","-719","2488","-155","2376","-139","6544","-176","0","-147","3104","-293","2504","-207","8136","-212","4864","-189","1112","22","0","23","0","?","0","32","0"
"-180","2664","-245","2968","-171","1496","-171","3072","-698","3400","-731","2488","-160","2376","-146","6544","-192","0","-154","3104","-266","2504","-198","8136","-205","4864","-210","1112","22","0","23","0","?","0","33","24"
"-200","2664","-269","2968","-162","1496","-194","3072","-715","3400","-739","2488","-151","2376","-162","6544","-183","0","-193","3104","-306","2504","-217","8136","-213","4864","-224","1112","22","0","23","0","?","0","34","24"
