T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-196.75,-46.5,-117.5,-168.25,-217.0
6.75,59.75,-26.75,2.5,4.75
-162.5,6.5,-25.75,-132.0,-175.5
-26.0,-15.0,-38.75,-28.5,-30.25
-146.25,5.75,-32.75,-112.75,-160.0
-19.25,38.5,-43.0,-15.75,-19.0
-177.25,-26.25,-98.5,-146.5,-196.0
21.0,91.5,43.5,15.25,17.25
-201.25,-97.0,-117.0,-178.75,-225.25
29.75,37.5,13.0,21.75,28.5
-185.5,-59.5,-108.25,-161.25,-204.25
-7.75,35.25,-32.75,-7.25,-6.0
-158.25,12.5,-8.5,-125.25,-170.5
-32.75,-32.0,-49.0,-34.0,-37.25
-155.5,-46.0,-56.75,-120.25,-169.0
-5.5,3.5,-15.75,-7.5,-8.0
-181.75,-77.75,-88.25,-153.0,-200.75
26.0,79.5,73.0,29.25,31.75
-202.25,-125.0,-106.5,-172.75,-222.0
22.75,9.0,1.5,22.25,23.25
-178.75,-86.25,-78.25,-149.25,-195.75
-8.0,-56.0,-30.5,-15.75,-16.25
-137.5,-43.5,5.0,-109.25,-156.75
-19.25,-71.5,-36.25,-21.25,-25.5
-151.75,-77.5,-56.0,-118.75,-165.5
11.25,32.25,25.0,11.0,10.5
-187.75,-90.75,-90.5,-161.5,-209.0
36.25,69.5,68.0,32.5,39.25
-189.75,-104.75,-99.75,-164.5,-213.25
20.75,28.75,8.5,21.0,20.25
-162.25,-11.5,-11.25,-127.0,-173.0
-12.75,4.75,-5.5,-14.5,-17.75
-136.75,21.0,-1.0,-108.0,-154.0
-13.0,4.5,-38.0,-19.75,-17.75
-160.0,-34.0,-72.0,-131.5,-179.5
20.0,85.5,57.75,21.25,18.75
-191.75,-61.5,-81.0,-160.0,-214.5
39.75,107.5,63.0,44.25,38.25
-181.75,-36.75,-90.5,-152.25,-206.75
12.75,61.0,-13.25,9.5,7.0
-152.0,19.0,-10.5,-121.0,-169.25
-21.0,-11.5,-35.75,-26.0,-29.0
-141.75,3.25,-37.0,-113.0,-158.75
-8.25,42.75,-35.0,-11.5,-12.5
-170.5,-12.5,-89.5,-143.75,-190.25
29.75,127.25,63.25,27.75,33.25
-199.0,-79.5,-109.25,-170.0,-215.25
31.75,48.5,17.0,30.5,35.25
-177.5,-48.75,-82.5,-148.0,-195.25
1.75,25.0,-15.5,-0.5,-5.5
-137.0,21.75,11.0,-106.75,-159.25
-14.5,-21.5,-32.5,-16.0,-24.25
-143.25,-47.0,-49.0,-108.75,-160.75
3.75,10.0,-3.0,3.25,0.75
-184.75,-94.0,-91.5,-155.0,-203.5
30.25,57.5,64.5,28.5,31.25
-200.5,-141.25,-121.25,-175.0,-224.25
19.75,-7.0,-14.25,16.25,17.25
-172.25,-81.0,-68.25,-145.25,-195.25
-14.25,-52.5,-29.0,-17.0,-23.5
-146.75,-34.25,-4.5,-114.75,-163.0
-23.5,-66.0,-53.5,-29.0,-32.5
-157.75,-78.75,-82.25,-132.5,-179.25
7.25,14.5,1.75,-0.5,3.0
-199.25,-89.5,-119.0,-176.5,-223.75
24.25,108.5,44.0,21.0,25.75
-206.0,-69.25,-129.5,-178.75,-227.25
2.25,47.0,-32.75,-2.75,-3.75
-168.25,-12.75,-49.25,-144.25,-190.25
-26.5,-24.75,-55.25,-36.25,-36.25
-152.25,11.75,-38.5,-125.75,-166.5
-22.25,32.75,-53.5,-32.0,-25.0
-173.0,-21.75,-101.5,-150.25,-191.75
14.5,90.25,30.5,9.75,13.0
-198.25,-85.0,-119.75,-174.5,-223.0
33.25,55.5,15.5,30.25,32.25
-189.0,-59.5,-108.75,-158.5,-206.0
3.75,31.0,-29.0,0.0,3.5
-151.0,4.25,-20.25,-124.0,-166.0
-25.25,-26.25,-53.5,-30.5,-29.75
-145.5,-37.25,-66.75,-117.5,-161.0
-7.0,19.25,-44.25,-13.25,-11.25
-180.0,-42.0,-106.5,-157.75,-200.5
24.5,105.0,51.0,16.0,26.75
-202.25,-97.75,-124.0,-180.25,-223.25
26.5,31.5,-4.0,22.5,27.0
-178.75,-64.0,-92.75,-150.25,-196.25
-5.5,3.5,-31.25,-9.5,-10.75
-143.5,11.0,1.25,-115.75,-160.0
-24.0,-46.5,-50.25,-32.25,-31.0
-155.0,-74.75,-75.0,-126.25,-172.75
-1.75,-10.25,-11.5,-2.0,-5.5
-193.0,-132.25,-107.25,-163.5,-214.0
28.25,28.25,56.75,30.25,30.5
