F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
23.0,17.25,-74.0,5.0,7.25,-29.5,14.5,-11.5,25.25,-83.5,-24.5,-24.75
45.25,13.5,-20.0,43.0,8.0,-134.0,50.0,-126.0,42.5,24.5,-102.75,-141.0
-81.75,-48.25,-104.5,-93.0,-58.75,-64.25,-73.0,-36.0,-67.25,-123.0,-65.25,-69.0
26.25,23.0,-21.0,54.25,14.75,-123.75,43.75,-126.75,30.5,21.25,-94.5,-133.25
-34.25,10.75,-130.75,-33.5,-4.75,-65.5,-40.5,-28.75,-10.75,-128.25,-65.0,-65.75
-6.0,1.75,-84.0,33.25,-8.0,-154.0,-3.5,-152.25,7.5,-45.25,-127.5,-165.0
7.75,60.75,-52.25,5.5,41.0,-31.75,16.5,-6.25,30.5,-37.0,-32.5,-26.25
-84.75,-98.0,-102.25,-78.5,-107.0,-181.5,-62.75,-166.25,-88.25,-67.75,-156.75,-194.5
-28.75,10.75,-47.0,-27.25,-3.0,-15.0,-10.25,-4.75,-19.0,-71.25,-15.75,-13.0
-41.0,-43.5,-106.75,-1.25,-46.75,-164.75,-27.25,-153.0,-40.0,-65.75,-143.25,-180.75
-31.25,13.25,-97.0,-22.25,4.0,-45.5,-31.0,-29.5,-13.5,-121.0,-47.25,-45.5
25.25,19.0,-18.75,51.0,15.0,-134.5,38.0,-131.75,25.25,22.0,-107.25,-142.0
-108.0,-73.5,-130.75,-121.0,-87.75,-73.75,-90.25,-42.75,-94.25,-139.25,-78.75,-75.75
-18.0,-29.75,-41.75,-18.75,-35.25,-127.0,3.75,-133.0,-14.0,-19.0,-99.5,-134.75
-37.75,11.5,-112.25,-64.25,-0.75,-55.25,-31.25,-21.75,-20.25,-120.25,-53.5,-55.5
-10.0,-6.75,-81.0,14.5,-11.5,-156.75,-7.0,-156.5,-0.75,-55.25,-132.75,-172.5
44.25,90.5,-25.0,53.0,80.0,-17.0,39.0,-1.0,78.5,-29.5,-16.0,-13.75
-92.5,-100.75,-115.25,-55.75,-105.5,-181.5,-81.75,-165.75,-77.75,-76.75,-154.75,-196.5
-48.5,-15.25,-71.5,-37.75,-31.0,-19.0,-51.0,-10.25,-27.75,-88.25,-20.0,-18.75
-32.0,-52.5,-80.5,-4.5,-59.5,-154.75,-31.25,-144.25,-46.5,-41.25,-127.75,-169.5
-23.75,-17.75,-93.5,-53.5,-32.25,-53.5,-46.75,-33.25,-52.0,-114.25,-51.25,-56.75
101.25,47.25,10.25,87.25,43.0,-120.75,65.75,-126.5,52.75,49.0,-92.0,-131.5
-46.0,-52.25,-112.5,-77.5,-59.25,-66.75,-82.0,-38.25,-66.5,-127.25,-67.5,-71.25
-12.75,-49.5,-47.5,-17.75,-50.75,-131.75,-27.0,-139.75,-33.0,-20.75,-103.25,-142.25
-51.25,-37.5,-82.5,-79.25,-43.0,-42.5,-68.5,-16.5,-55.0,-83.0,-42.5,-45.5
-74.75,-127.25,-76.5,-74.0,-118.0,-167.5,-79.75,-164.5,-107.75,-46.75,-141.25,-187.25
24.0,13.75,-8.5,-10.75,18.0,-12.75,12.5,-0.75,-2.0,-13.5,-8.0,-12.0
-52.0,-108.75,-96.0,-66.25,-95.75,-171.5,-71.5,-161.0,-86.0,-59.75,-144.5,-190.25
-21.5,-16.75,-60.5,-55.25,-14.75,-23.0,-34.75,-15.5,-32.0,-84.5,-21.0,-23.75
-11.25,-26.5,-36.5,-13.5,-24.0,-142.0,0.25,-135.25,-19.5,5.75,-113.75,-153.25
-69.0,-36.5,-90.75,-110.75,-41.25,-57.5,-63.0,-34.25,-59.75,-108.75,-59.0,-62.75
61.25,41.75,6.25,30.75,50.25,-116.75,72.0,-122.0,49.25,42.25,-87.75,-130.75
-31.0,9.0,-113.25,-81.5,10.75,-60.75,-32.75,-27.5,-20.0,-128.0,-61.5,-67.25
26.25,21.75,-44.5,10.25,28.25,-133.25,29.25,-138.75,25.75,-25.75,-106.75,-146.5
18.25,63.0,-29.5,3.0,55.75,-23.75,16.75,-1.25,34.25,-40.0,-23.0,-23.25
-47.25,-48.25,-65.25,-21.0,-53.75,-166.5,-33.75,-156.0,-45.0,-37.5,-140.0,-181.25
52.5,104.0,-9.5,45.75,90.25,-5.0,56.0,9.0,70.75,-12.5,-3.0,0.5
-0.75,13.25,-93.0,19.25,9.5,-163.0,1.25,-146.0,8.25,-43.5,-138.75,-177.0
13.75,71.0,-73.5,15.0,59.0,-29.75,14.5,-12.5,42.0,-85.25,-29.0,-28.0
49.0,51.25,-5.0,69.5,51.25,-130.0,58.25,-121.0,54.75,46.0,-98.75,-134.25
-71.75,-29.25,-90.0,-74.25,-39.5,-60.75,-63.25,-29.5,-55.5,-106.5,-59.5,-60.25
32.25,26.0,-5.5,64.25,15.5,-115.25,48.5,-118.0,43.0,25.75,-82.25,-120.5
-17.0,35.0,-109.5,-15.5,19.25,-55.25,-20.0,-15.25,14.0,-112.25,-50.0,-50.5
15.0,16.75,-62.75,57.0,8.75,-145.0,19.0,-142.25,33.75,-35.5,-116.0,-155.0
43.75,91.0,-22.25,47.75,76.75,-15.5,45.0,6.75,73.0,-19.0,-11.5,-11.75
-70.0,-76.0,-94.25,-48.5,-76.0,-171.25,-62.0,-156.75,-66.5,-51.5,-145.5,-185.75
-23.5,12.5,-41.75,0.5,8.25,-8.0,-20.25,2.25,-6.5,-60.0,-9.0,-3.75
