F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
38.5,49.0,33.25,62.0,54.75,74.25,53.25,31.0,42.75,78.0,80.0,-0.5
-295.0,-79.75,-226.75,-107.0,-96.75,-361.5,-161.25,-234.25,-78.0,-177.75,-174.25,-177.25
19.75,33.75,22.25,48.0,35.5,71.25,27.25,13.75,38.5,43.5,45.25,-3.75
-318.5,-179.0,-229.75,-199.0,-189.25,-427.5,-240.75,-268.75,-177.25,-264.5,-254.5,-178.5
44.25,59.5,47.0,67.0,67.75,66.25,74.25,52.25,55.0,87.0,80.0,-0.75
-340.75,-211.0,-256.75,-244.75,-212.0,-452.25,-250.75,-299.5,-227.25,-267.75,-262.0,-179.25
65.5,115.75,72.0,136.75,132.5,129.0,127.25,78.25,99.75,146.25,138.75,1.5
-339.75,-224.25,-280.75,-243.5,-229.25,-489.5,-289.25,-306.75,-230.75,-292.25,-303.75,-180.25
55.5,57.75,62.75,85.0,71.5,101.5,46.75,57.5,57.0,84.25,78.0,-1.0
-307.75,-163.75,-239.0,-198.5,-162.75,-400.25,-211.75,-253.5,-180.5,-208.75,-225.25,-181.0
28.5,42.75,31.0,48.75,55.5,58.5,53.5,24.0,34.0,87.5,81.25,-3.5
-292.25,-104.75,-207.0,-135.0,-107.5,-365.0,-167.75,-230.0,-108.75,-176.5,-171.5,-178.25
29.75,30.0,33.25,52.75,44.75,55.75,32.5,24.5,30.75,55.0,54.0,-3.25
-317.5,-183.25,-231.5,-206.25,-183.5,-450.25,-247.75,-266.0,-181.5,-258.25,-240.5,-178.0
62.5,98.75,63.75,113.25,117.0,117.75,109.5,83.25,102.75,134.5,142.25,0.75
-340.25,-209.5,-270.25,-247.75,-208.25,-448.5,-247.25,-293.75,-221.0,-260.0,-250.75,-180.0
66.0,108.25,65.0,92.25,121.5,108.0,109.75,86.75,86.5,130.25,124.75,0.75
-334.75,-202.25,-282.0,-250.75,-201.0,-507.25,-288.5,-289.75,-222.0,-299.0,-308.5,-181.0
37.25,55.75,35.75,56.5,68.0,45.25,30.0,43.25,42.75,48.0,48.5,-2.25
-315.5,-145.75,-250.75,-192.25,-140.0,-417.75,-213.25,-246.25,-165.75,-225.0,-232.25,-179.25
6.75,-6.5,1.5,6.5,17.5,25.75,3.75,6.0,-12.5,30.5,29.0,-2.75
-318.75,-194.75,-243.0,-220.5,-202.75,-415.25,-243.75,-264.25,-190.5,-256.0,-248.0,-177.5
13.5,-2.75,2.5,5.25,1.75,40.25,-15.5,4.75,4.0,11.0,6.75,-3.0
-350.5,-222.75,-278.5,-257.5,-235.0,-474.5,-304.5,-310.25,-220.75,-309.0,-296.0,-180.5
44.25,94.0,38.0,95.25,96.25,109.75,85.25,65.0,100.5,113.75,113.5,-2.25
-364.0,-257.25,-295.75,-299.75,-261.0,-481.25,-301.75,-316.0,-257.75,-308.0,-305.75,-183.0
45.75,6.25,54.5,27.75,28.0,73.0,51.0,63.0,5.75,79.0,84.25,-0.75
-335.75,-243.75,-271.0,-257.25,-245.25,-479.0,-278.25,-292.0,-241.25,-286.0,-282.75,-180.5
26.25,8.0,34.5,41.25,22.75,77.0,38.5,20.75,17.5,61.0,74.5,-1.25
-304.25,-145.5,-227.75,-161.0,-140.75,-364.75,-173.0,-238.0,-146.25,-180.0,-172.25,-176.75
17.25,-0.75,16.75,13.75,14.5,48.5,25.5,15.5,-0.5,59.25,59.75,-2.0
-313.0,-212.0,-229.5,-242.75,-207.5,-415.75,-240.5,-254.25,-210.0,-243.5,-232.5,-176.75
34.25,10.5,34.75,9.5,34.0,85.5,46.75,39.25,2.5,67.75,73.25,-1.25
-352.5,-219.5,-271.25,-245.75,-219.75,-436.75,-264.25,-316.75,-223.75,-280.0,-262.0,-179.25
52.5,120.5,56.25,147.25,129.75,149.75,115.75,66.0,128.75,140.5,140.0,0.25
-352.75,-229.0,-287.25,-243.5,-236.5,-465.5,-292.5,-314.5,-223.25,-296.5,-298.25,-181.0
47.25,55.25,53.5,87.5,63.75,98.25,46.75,59.0,67.25,83.0,82.5,0.0
-316.25,-176.75,-255.5,-202.5,-183.5,-413.25,-223.25,-254.5,-175.25,-230.25,-241.5,-178.75
26.5,39.25,26.5,49.0,55.75,98.75,74.25,29.5,38.25,77.25,81.0,-0.75
-301.25,-108.25,-223.5,-136.0,-108.5,-348.75,-154.0,-236.0,-109.25,-184.5,-176.0,-176.0
23.0,18.5,18.25,45.25,31.0,46.0,23.0,17.5,24.5,47.5,47.0,-1.5
-319.0,-189.25,-237.5,-206.5,-192.5,-418.25,-247.25,-269.75,-185.5,-256.5,-242.5,-177.25
50.5,75.75,46.5,92.5,96.25,126.75,96.25,64.25,79.25,124.75,118.0,0.5
-340.25,-195.5,-270.75,-225.75,-200.75,-438.25,-232.25,-291.75,-200.75,-240.75,-246.0,-178.0
69.25,138.75,74.5,134.75,139.75,155.0,158.25,93.0,121.25,165.25,156.0,3.75
-335.0,-188.0,-269.0,-233.5,-203.0,-446.25,-245.5,-286.5,-210.25,-271.0,-278.0,-177.75
49.75,71.5,56.5,75.25,74.25,112.0,70.25,65.25,59.0,82.0,92.5,2.25
-307.0,-119.5,-242.5,-175.75,-129.0,-360.5,-173.25,-233.75,-144.25,-202.75,-197.0,-176.0
20.0,41.5,11.0,41.0,58.25,89.25,62.75,33.0,33.75,76.0,72.5,-1.0
-295.75,-140.75,-227.25,-166.0,-139.0,-382.0,-183.25,-214.5,-125.0,-191.75,-199.5,-175.75
37.25,34.75,23.75,42.75,43.75,47.5,40.5,54.25,48.5,66.25,48.75,-1.0
-327.0,-186.5,-251.25,-216.75,-199.75,-436.0,-239.0,-256.5,-177.75,-252.5,-252.25,-178.0
