T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-195.25,-107.75,-154.25,-171.0,-220.5
-175.25,-108.25,-142.0,-145.0,-196.25
-191.25,-161.25,-179.75,-172.5,-210.0
-177.75,-104.0,-123.0,-152.75,-192.75
-181.25,-124.0,-132.0,-154.5,-201.0
-179.25,-67.25,-102.5,-147.0,-185.25
-148.75,-34.5,-88.25,-128.25,-169.75
-174.5,-92.75,-119.25,-151.25,-199.75
-149.0,-76.5,-113.25,-134.25,-171.75
-181.0,-158.75,-169.5,-157.0,-216.0
-176.5,-119.5,-153.75,-161.25,-201.5
-171.75,-95.75,-142.25,-152.75,-196.5
-178.75,-80.0,-122.0,-160.75,-199.75
-164.25,-84.25,-136.25,-147.25,-190.75
-180.75,-137.5,-175.25,-160.75,-203.25
-153.25,-102.25,-128.0,-142.75,-175.0
-172.0,-144.5,-189.5,-160.25,-204.25
-162.5,-76.75,-100.5,-140.0,-189.75
-162.0,-73.75,-101.5,-141.25,-189.75
-175.0,-85.25,-117.0,-165.0,-202.0
-155.25,-90.0,-95.5,-147.75,-179.5
-180.25,-154.0,-165.75,-165.75,-204.75
-163.25,-106.5,-126.5,-141.25,-184.0
-177.75,-129.75,-150.0,-150.5,-194.5
-170.25,-69.5,-103.25,-148.25,-189.25
-152.75,112.25,112.75,70.75,-122.5
-101.75,691.0,728.0,761.5,115.5
-107.5,646.5,683.0,712.25,107.25
-110.75,628.75,675.25,692.5,107.25
-110.5,678.75,733.25,760.25,122.5
-96.0,643.5,657.25,657.5,127.75
-88.75,647.75,661.25,700.75,130.5
-98.5,589.5,668.0,676.25,125.75
-131.75,609.5,622.75,644.0,78.5
-174.0,538.5,618.75,629.0,31.25
-182.5,554.75,627.5,594.75,18.25
-198.25,498.0,584.25,579.5,4.0
-182.0,537.0,560.75,522.25,16.75
-163.5,507.0,538.75,523.5,41.25
-158.5,458.5,554.5,544.0,61.0
-142.5,437.0,469.5,453.75,68.75
-142.25,468.5,513.75,488.75,62.25
-147.75,342.75,439.5,449.5,61.25
-158.75,433.25,419.5,413.5,48.75
-164.75,368.5,410.25,414.5,45.0
-167.25,349.0,355.0,397.25,43.0
-157.5,312.5,372.25,383.25,47.5
-141.25,299.5,351.75,357.5,55.5
-147.5,288.75,349.5,351.5,55.75
-157.5,292.25,385.75,390.25,54.75
-158.0,267.0,344.75,340.5,57.75
-153.0,235.5,317.5,319.0,48.75
-160.0,283.5,353.0,325.5,56.5
-164.0,281.5,347.5,320.5,56.0
-161.25,238.75,273.75,288.5,56.5
-159.0,191.25,254.0,233.5,56.25
-156.5,189.5,240.25,238.0,55.0
-158.0,180.25,229.5,220.0,46.0
-153.25,156.75,175.75,185.75,54.25
-150.25,129.75,206.0,189.5,55.75
-148.0,148.5,143.5,154.25,35.5
-149.5,110.5,143.75,152.25,34.25
-166.5,85.25,176.25,172.25,2.0
-185.0,127.5,135.25,147.75,-4.5
-192.0,60.5,152.75,118.25,-2.0
-178.75,101.0,151.25,144.75,7.5
-167.0,108.25,157.75,133.25,28.0
-163.25,76.0,138.5,109.5,31.25
-153.75,93.0,176.25,141.5,35.25
-139.0,75.75,117.5,107.0,50.75
-143.5,73.5,131.5,90.25,41.75
-146.0,67.75,143.5,116.25,42.25
-147.5,61.25,95.5,71.5,36.75
