T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
109.5,121.5,198.0,121.25,134.0
-221.25,-64.75,-162.75,-197.25,-246.0
71.5,80.75,152.5,82.0,94.5
-168.25,27.5,-85.25,-136.0,-186.25
39.75,39.5,107.25,49.0,58.5
-178.0,-2.25,-116.75,-148.25,-199.75
42.5,101.75,139.25,49.25,62.75
-235.0,-22.75,-164.75,-207.5,-257.5
75.75,136.5,201.75,91.25,105.0
-267.5,-126.0,-238.25,-241.75,-297.0
63.0,57.0,114.75,74.5,80.75
-254.75,-84.25,-215.75,-224.25,-280.0
10.0,59.75,89.0,18.25,32.5
-218.0,17.5,-109.75,-189.75,-233.0
-16.25,-11.5,60.25,-9.75,2.25
-235.5,-69.5,-210.5,-212.25,-263.75
8.5,38.75,58.5,13.5,25.5
-294.25,-97.0,-266.75,-266.75,-318.25
33.5,154.0,146.25,43.5,60.5
-313.5,-108.0,-260.0,-293.25,-341.75
18.25,21.75,83.5,23.75,36.75
-256.0,-105.0,-215.25,-231.25,-277.75
-0.5,-43.75,41.25,5.25,26.75
-202.75,-55.75,-126.25,-174.5,-212.75
10.0,21.5,105.25,17.0,36.0
-209.5,-42.5,-150.5,-183.25,-230.5
71.25,100.0,185.0,85.25,98.5
-241.0,-105.0,-185.25,-208.25,-260.5
108.25,107.25,210.25,121.25,137.25
-226.0,-80.0,-155.25,-203.25,-250.75
91.5,110.75,173.75,94.0,112.0
-158.0,41.5,-61.75,-139.0,-177.5
75.75,73.75,176.25,77.25,96.0
-129.25,-1.0,-52.25,-105.5,-151.5
89.75,-10.0,155.75,91.0,106.0
-157.25,-110.75,-136.25,-135.0,-182.5
130.75,101.0,227.25,136.25,159.5
-206.25,-103.5,-173.5,-190.0,-231.0
126.25,138.25,201.0,125.5,149.0
-212.25,-12.75,-164.75,-202.75,-241.0
70.75,83.5,109.5,63.25,89.75
-179.25,-6.25,-124.0,-162.5,-189.25
34.25,18.25,77.75,25.25,62.0
-176.25,-29.5,-158.75,-164.5,-191.75
51.0,102.0,108.75,47.75,81.5
-210.25,-16.5,-199.0,-199.5,-226.0
107.25,162.0,191.75,103.5,145.25
-228.0,-96.75,-215.25,-214.0,-242.25
114.0,81.0,143.75,107.25,145.0
-200.75,-49.5,-165.5,-191.75,-214.75
66.0,43.0,111.75,58.75,97.0
-164.0,-18.5,-102.75,-154.0,-170.25
48.25,-16.75,87.0,32.0,75.0
-163.75,-80.25,-158.0,-156.25,-179.25
84.25,63.0,161.5,74.25,118.0
-197.25,-117.25,-169.0,-190.75,-216.25
132.0,77.5,228.5,127.0,162.75
-209.0,-141.75,-177.75,-198.75,-231.75
125.0,73.0,168.0,117.0,145.5
-165.0,-17.75,-93.25,-155.5,-183.25
87.25,31.25,158.75,76.25,113.5
-118.5,-16.75,-47.0,-109.75,-134.75
100.5,-9.25,159.0,90.5,120.75
-121.75,-47.5,-93.25,-111.75,-144.75
155.0,159.75,267.0,147.25,180.0
-154.0,-37.75,-87.5,-143.5,-178.5
181.75,163.5,298.5,178.75,209.25
-149.75,-65.5,-108.75,-137.5,-175.0
162.5,82.25,219.5,160.0,182.5
-101.75,50.25,-12.25,-88.0,-121.5
128.0,128.25,207.25,117.25,146.25
-85.5,71.5,-2.25,-72.25,-106.75
137.0,100.25,214.0,129.0,156.0
-107.75,-29.0,-79.25,-99.75,-134.25
192.5,175.0,309.25,183.0,216.0
-127.5,3.75,-79.0,-124.25,-156.5
204.75,216.0,293.25,195.5,227.25
-127.0,9.5,-58.0,-118.75,-154.0
151.25,77.5,221.25,141.25,165.5
-102.5,13.25,-10.75,-91.75,-130.5
115.0,58.5,184.0,102.0,122.75
-97.25,24.5,-59.75,-91.25,-129.75
139.5,108.25,208.5,128.0,151.25
