T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-540.5,-423.0,-779.75,-673.0,-224.5
490.75,368.0,714.75,577.25,60.5
-511.75,-435.5,-731.0,-594.75,-222.0
545.25,435.5,752.5,603.75,59.5
-386.0,-282.5,-591.5,-453.75,-216.75
430.25,284.25,553.75,423.25,57.75
-360.75,-286.75,-447.75,-334.0,-215.0
343.5,234.75,382.0,313.25,55.25
-376.25,-293.0,-507.25,-417.25,-215.75
303.75,264.0,529.5,424.5,62.0
-321.25,-331.25,-544.75,-441.0,-217.5
394.0,307.5,557.25,484.0,64.0
-309.25,-308.0,-514.75,-439.75,-222.75
350.75,379.75,592.0,497.5,74.75
-362.25,-399.5,-586.75,-469.5,-227.75
388.25,332.5,578.75,492.75,70.5
-372.25,-221.25,-565.25,-465.25,-231.25
302.25,129.0,488.5,383.0,71.75
-248.5,-81.25,-418.75,-309.75,-218.0
212.0,39.75,389.75,284.5,63.75
-134.0,-82.75,-350.75,-227.5,-208.25
149.0,102.5,401.25,258.5,60.0
-80.25,-44.25,-343.5,-190.5,-216.5
177.0,207.25,514.0,311.0,64.5
-155.75,-220.0,-485.5,-291.25,-222.25
115.75,147.5,413.75,215.25,55.5
-186.5,-197.5,-443.0,-256.25,-223.5
191.75,196.5,423.0,194.75,63.0
-215.25,-249.5,-486.0,-253.5,-224.25
249.25,267.5,519.0,291.5,67.5
-126.5,-198.5,-404.0,-143.0,-224.0
219.0,284.75,492.5,248.75,62.75
-195.5,-232.25,-456.5,-218.0,-217.5
126.5,174.0,364.0,113.0,53.25
