F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
116.25,94.25,59.75,109.75,80.75,36.75,98.75,23.0,113.0,55.75,38.0,52.0
-56.0,-22.75,-135.75,-54.75,-21.5,-191.75,-62.5,-161.0,-34.5,-143.5,-166.75,-214.5
73.25,59.5,24.75,59.0,22.5,-8.5,49.5,-10.25,91.25,25.75,-6.25,3.0
-27.25,-1.0,-47.5,-36.5,-8.75,-156.25,-14.75,-135.75,-8.5,-57.75,-124.25,-171.25
0.75,-28.75,-4.5,-27.75,-53.5,-25.25,-23.25,-13.25,3.75,6.25,-25.25,-18.25
-110.25,-75.0,-102.75,-105.5,-72.0,-164.75,-95.5,-150.5,-103.75,-118.0,-132.0,-185.25
56.75,63.75,35.0,62.5,37.5,6.5,45.5,18.75,64.5,51.5,14.0,20.75
-162.5,-119.75,-135.0,-142.5,-122.25,-206.75,-144.5,-181.0,-144.0,-149.75,-175.25,-226.75
70.75,57.5,110.75,65.5,26.5,40.25,60.5,39.0,76.0,137.25,48.75,61.75
-209.5,-172.75,-164.0,-202.75,-164.0,-221.5,-183.5,-181.0,-201.25,-163.75,-194.25,-246.25
26.5,15.5,43.25,26.25,10.25,22.5,24.5,14.25,36.25,63.25,23.0,31.75
-105.25,-62.25,-111.25,-76.75,-41.5,-188.0,-92.25,-154.5,-77.5,-120.25,-160.0,-207.25
10.75,1.5,11.0,15.0,-14.25,-24.75,-29.75,-18.5,29.0,23.5,-22.25,-12.5
-62.0,-24.75,-65.25,-56.5,-8.75,-159.75,-87.25,-141.75,-35.25,-34.25,-132.75,-174.75
6.0,-4.5,-25.75,-3.75,-19.0,-34.25,-45.5,-14.75,21.0,32.25,-40.5,-23.0
-96.75,-53.0,-131.25,-93.25,-41.25,-184.25,-111.25,-165.75,-76.75,-115.0,-160.0,-206.25
98.5,97.75,54.75,92.5,84.0,12.25,78.25,20.5,107.0,93.0,13.75,28.5
-161.75,-136.5,-148.25,-151.0,-115.5,-223.25,-131.75,-190.0,-162.0,-174.25,-192.5,-239.75
112.75,74.5,103.25,88.5,74.25,42.5,95.75,37.25,93.5,100.25,52.75,62.5
-107.75,-87.25,-151.5,-124.25,-57.5,-206.25,-111.25,-166.75,-116.0,-139.75,-175.0,-229.0
123.75,106.75,55.5,113.5,100.0,27.0,99.0,22.25,115.5,71.5,35.75,40.25
4.25,49.25,-47.75,6.25,67.25,-148.5,7.75,-121.25,11.5,-46.75,-110.5,-166.75
61.25,50.25,41.75,37.75,41.25,1.5,33.75,6.5,57.5,62.5,8.0,10.75
-21.75,-24.0,-34.75,-35.25,-1.75,-128.25,-19.5,-114.75,-38.5,-44.25,-93.75,-143.25
90.0,12.0,29.25,38.0,12.0,11.0,47.25,25.25,53.25,66.0,14.0,24.0
-40.75,-74.0,-97.5,-71.5,-48.75,-158.25,-45.75,-143.5,-69.0,-94.0,-129.0,-177.25
184.5,128.5,117.75,155.75,113.75,55.75,165.5,58.0,159.25,152.25,63.75,79.75
-85.0,-62.25,-128.5,-82.25,-58.0,-196.0,-65.25,-163.5,-91.25,-121.5,-165.25,-215.25
164.5,141.0,101.5,168.25,116.75,64.5,154.5,55.25,154.0,131.75,71.0,78.25
-31.0,-31.5,-128.25,-21.75,-24.0,-183.75,-21.5,-142.75,-44.25,-119.5,-152.0,-205.25
144.0,75.0,51.75,124.5,56.25,23.0,128.0,22.75,110.25,60.25,32.0,38.75
22.0,7.25,-37.75,6.0,20.75,-136.75,37.75,-114.5,-2.75,-37.75,-99.5,-150.0
52.75,11.75,11.75,35.25,-2.25,-8.75,47.0,-1.5,34.25,24.75,-2.75,1.0
-55.25,-13.75,-78.25,-42.0,2.25,-140.5,-22.5,-134.25,-48.75,-87.5,-109.0,-164.5
88.75,98.75,28.75,76.0,84.5,12.0,89.75,19.5,98.0,54.25,14.0,16.5
-95.25,-58.75,-118.5,-118.0,-42.5,-188.5,-60.25,-170.25,-89.25,-143.0,-158.75,-213.5
123.25,107.25,117.0,74.25,98.0,47.25,125.5,41.25,114.25,116.25,55.75,66.75
-164.0,-128.5,-155.5,-180.5,-115.0,-213.5,-131.5,-182.25,-163.25,-168.5,-182.5,-236.0
82.0,58.0,62.5,63.25,40.25,41.25,79.5,27.0,79.75,74.5,51.0,53.5
-76.5,-46.25,-119.5,-80.0,-38.5,-179.5,-69.0,-150.0,-59.25,-116.5,-144.5,-201.5
53.0,28.0,40.25,13.5,6.0,6.0,24.75,4.5,65.75,38.5,16.0,20.25
-37.5,-22.0,-22.0,-77.0,-16.75,-135.5,-36.5,-116.25,-25.25,-43.25,-90.25,-144.75
5.25,-22.0,19.5,-31.75,-43.0,-9.5,-19.5,3.0,3.0,28.25,5.0,3.5
-94.75,-64.5,-86.5,-91.25,-56.75,-150.75,-85.25,-140.5,-81.75,-92.25,-112.5,-170.75
71.25,65.75,56.0,83.25,47.75,22.5,59.75,29.5,88.75,82.75,30.5,38.0
-161.0,-134.5,-132.25,-124.0,-126.0,-202.25,-130.75,-181.25,-137.0,-122.0,-175.0,-223.5
83.0,44.5,97.75,107.5,23.5,39.25,84.5,32.25,96.25,157.0,39.25,58.5
-204.75,-199.25,-196.25,-163.75,-190.25,-240.25,-169.25,-198.75,-194.5,-157.25,-218.25,-261.25
15.25,-10.75,3.25,30.25,-32.25,-6.0,22.0,-17.0,10.75,48.75,-6.75,6.0
-128.5,-90.25,-152.0,-104.0,-80.75,-210.75,-104.0,-183.75,-122.25,-128.25,-185.0,-228.0
-20.25,-27.75,-39.75,-21.25,-37.5,-54.5,-37.75,-53.75,-19.25,-31.0,-54.75,-38.0
-50.75,-8.0,-88.5,-45.0,14.25,-172.25,-44.0,-165.5,-44.25,-93.5,-142.25,-187.5
61.75,44.25,-25.25,55.0,40.0,-30.75,29.5,-24.75,61.5,17.5,-31.75,-25.25
-45.75,-19.0,-127.0,-33.0,-3.0,-181.25,-51.5,-173.0,-35.5,-119.75,-151.75,-203.75
154.75,138.75,82.25,136.5,125.25,31.0,122.75,28.0,153.75,107.25,39.5,48.0
-120.0,-101.25,-135.5,-120.25,-84.0,-205.25,-114.0,-180.0,-124.25,-133.25,-170.0,-224.5
139.0,90.25,100.25,135.5,84.75,56.0,111.0,48.75,119.0,144.75,65.5,77.75
-70.0,-79.5,-148.25,-50.0,-47.0,-193.25,-71.75,-153.0,-86.5,-103.0,-165.75,-214.5
147.25,90.75,51.0,161.0,95.0,37.25,114.0,30.25,126.5,100.5,39.75,48.75
10.0,15.75,-48.5,43.75,36.25,-136.75,15.0,-113.25,5.75,-17.0,-107.5,-151.0
60.0,29.0,36.75,66.0,10.5,0.75,49.0,9.5,54.5,62.25,4.0,17.0
-33.5,-3.25,-41.0,-21.0,5.25,-125.0,-8.25,-108.5,-27.75,-41.5,-91.25,-139.75
49.0,52.75,28.0,58.5,35.0,13.25,65.0,34.75,54.5,76.75,15.25,27.75
-109.75,-60.5,-102.0,-74.75,-47.0,-163.0,-49.0,-140.25,-95.25,-87.0,-130.5,-179.25
140.75,131.5,123.5,146.5,119.0,66.25,157.25,66.25,141.25,154.25,76.5,87.5
-128.5,-89.5,-135.25,-108.25,-80.0,-194.75,-90.25,-162.0,-123.5,-132.25,-163.5,-215.25
